Type of election,All R Total elections,All R Objections/challenges Number,All R Objections/challenges Percent,RC Total,RC Objections/challenges Number,RC Objections/challenges Percent,RM Total,RM Objections/challenges Number,RM Objections/challenges Percent,RD Total,RD Objections/challenges Number,RD Objections/challenges Percent,UD Total,UD Objections/challenges Number,UD Objections/challenges Percent
"All types, total",8116,1249,15.4,7496,1257,16.8,386,65,16.8,234,27,11.5,67,7,10.4
"In consent elections, total",2821,295,10.5,2559,272,10.6,159,15,9.4,103,8,7.8,,,
"In stipulated elections, total",3690,543,14.7,3200,483,14.7,141,20,14.2,60,4,10.6,,,
"In expedited elections under 8(b)(7)(C), total",30,13,43.3,4,3,75.0,26,10,38.5,0,0,0,,,
"In regional director-directed elections, total",1550,408,24.7,1531,363,25.0,49,30,61.2,70,13,17.9,54,9,16.7
"In Board-directed elections, total",125,23,18.4,,,,,,,,,,,,
