row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
i 8,,g,", 7 ,",n ns:,;,;:in g,IL121;,,:47i ggg,. .2,4rIcAI
,kg Z,"0, r.- m",m,•00,p i,m . 4 . 0,0n0,2,lAn000,N,ON000
1,n,q ... 8,.r. -,qaq - do,0 4,. .ton mdd,qqo ond,w g,...vow-. cA.4.4dd,cr ! n,nnonm weid-4d
z,II a,,'.1,.=1 0,R,"PM""",° g °,X,RAL1 N -,g,
1 g,. o g,' q 4,n -,omo ndd,m d,...m n4.4,..0 .4add,. 1 .A .,neinno dnnno,w n,..m.0 .4AdAd
z,"' kg .V. .""",E,,,,,..o,,...o S .,,..-.0 m
1 0 o,i 0 g,- 2,q -,...no ddd,N g,", ON*: 4:40",Or-- . do■d,N A,Onr .. wer :(00.4d,m A,..o.- dde6-4d
1 0 o,"1 ""' . NA g",.F.,g,M2°,g,E gg,-R*,m,Itt=m,t,tm-s*
1 o,- 0 g,m g,- a,..o ddd,# .,-N. Wdd,m er m dc g d,m d,NMM0r4 Wnd.4d,0 vi,..0.- Addnd
z,. il 2 .--i,i 4,2,4 g °,"E ,4",5p a . a,*R*,0 a,nmnz a...7,g .,"22""V"" - -"
I t t .. I,i- A,1 1,1 1,01 il 1,_,I .... J. i 1 .0 MI,g I . i,,1 I A. t illn Mb 11.1 1 'a O,1' 1 4,"t ill' 11111 la!. Vim"" .."
