Action taken,Total all,Employer total,Employer informal settlement,Employer formal settlement,Employer ALJ,Employer Board,Employer Court,Union total,Union informal settlement,Union formal settlement,Union ALJ,Union Board,Union Court
B. By number of employees affected,,,,,,,,,,,,,
"Employees offered reinstatement, total",1057,1057,704,12,8,72,261,,,,,,
Section B,,,,,,,,,,,,,
"C. By amounts of monetary recovery, total",3163000,2478350,1388640,104280,7370,358240,618830,684650,67040,,,263150,354470
Section C,,,,,,,,,,,,,
