Size of unit (number of employees),Number eligible to vote,Total elections,Percent of total,Elections in which representation rights was won by — AFL-CIO unions — Number,AFL-CIO unions — Percent of size class,Teamsters — Number,Teamsters — Percent of size class,Other national unions — Number,Other national unions — Percent of size class,Other local unions — Number,Other local unions — Percent of size class,Elections in which representation was chosen — Number,Elections in which representation was chosen — Percent of size class
Total RC and RM elections,185556,2993,100.0,921,100.0,411,100.0,60,100.0,100,100.0,1501,100.0
Under 10,5765,676,22.6,251,27.3,142,34.5,11,18.3,17,17.0,255,17.0
10 to 19,4070,433,14.5,139,15.1,108,26.3,4,6.7,16,16.0,176,11.7
20 to 29,8411,351,11.8,105,11.4,46,11.2,9,15.0,16,16.0,176,11.7
Under-20 (Under 10 + 10-19) — combined,9835,1109,37.1,390,,,,,,,,,
