row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
District of Columbia,216,169,121,47,0,0,0,1,0,45,40,2,3,o,0,2
Virginia,488,397,305,85,6,o,o,o,1,87,65,6,16,1,o,3
West Virginia,617,572,363,138,47,3,2,0,19,41,27,5,9,3,0,1
North Carolina,349,294,234,60,o,o,o,o,0,55,44,0,11,o,o,o
South Carolina,174,143,113,30,0,0,o,o,0,31,27,1,3,o,o,o
Georgia,712,616,465,141,1,3,0,0,6,93,78,1,14,0,1,2
Florida,866,714,553,138,16,5,0,o,2,151,115,5,31,0,o,1
South Atlantic,4276,3618,2644,854,74,13,4,1,28,639,508,23,108,6,2,11
Kentucky,743,613,483,I04,13,4,0,0,9,114,83,5,26,7,o,9
Tennessee,666,542,404,132,6,0,0,o,0,119,85,6,28,o,o,5
Alabama,397,313,221,85,4,0,0,o,3,83,70,3,10,o,o,1
Mississippi,183,139,104,34,1,o,o,o,0,43,28,1,14,0,1,0
East South Central,1989,1607,1212,355,24,4,0,0,12,359,266,15,78,7,1,15
Arkansas,223,174,148,26,o,o,o,o,0,46,34,1,11,0,0,3
Louisiana,383,320,223,91,3,2,1,0,0,60,47,I,12,0,3,o
Oklahoma,291,236,180,52,4,o,o,o,0,50,33,6,11,7,2,1
Texas,1241,1068,817,239,8,2,0,o,2,168,110,17,41,0,I,4
West South Central,2138,1798,1368,408,15,4,1,0,2,324,224,25,75,2,6,8
Montana,186,112,94,15,1,o,o,0,2,65,34,8,23,8,0,I
Idaho,116,85,57,21,o,6,1,o,0,29,21,2,6,o,o,2
Wyoming,51,33,28,4,I,0,o,o,0,18,11,3,4,0,o,0
Colorado,600,,385,126,7,0,I,0,0,78,52,5,21,o,1,2
,,519,,33,,,,,0,,,1,,o,o,0
New Mexico,123,108,74,,1,0,0,o,,15,11,,3,,,
Arizona,400,352,246,97,8,0,o,o,1,48,27,10,11,0,o,0
Utah Nevada,119 458,91 394,68 213,20 164,2 10,o 3,i 2,o o,0 2,28 63,24 28,0 11,4 24,o o,o o',o I
,,,,480,,,,0,,,,,,,1,6
Mountain,2053,1694,1165,,30,9,5,,5,344,208,40,96,8,,
