Size of establishment (number of employees),Total number of situations,Total / Percent of all situations,Total / Cumulative percent of all situations,Type of situations / CA / Number of situations,Type of situations / CA / Percent by size class,Type of situations / CB / Number of situations,Type of situations / CB / Percent by size class,Type of situations / CC / Number of situations,Type of situations / CC / Percent by size class,Type of situations / CD / Number of situations,Type of situations / CD / Percent by size class,Type of situations / CE / Number of situations,Type of situations / CE / Percent by size class,Type of situations / CG / Number of situations,Type of situations / CG / Percent by size class,Type of situations / CP / Number of situations,Type of situations / CP / Percent by size class,CA-CB combinations / Number of situations,CA-CB combinations / Percent by size class
Totals,21895,100.0,,15978,100.0,5725,100.0,182,100.0,117,100.0,1,100.0,26,100.0,1053,100.0,211,100.0
Under 10,1781,8.1,8.1,1231,7.9,469,8.2,33,18.1,26,22.2,1,100.0,0,0,0,0,8,3.8
