row_label,col_1,col_2,col_3
10-R-2444,"Royal Palm Furniture Factories, Inc.",10-R-2655 16-R-345,"Tennessee Chair Co., Inc. Texas Paper Box Manu- facturing Co."
8-R-2674,S-P Manufacturing Corp The.,16-R-2328 1-R-3823,Tin Processing Corp. Tobe-DeUtchman Corp.
15M-R-1930,"Salant & Salant, Inc.",1-R-3815,"Torrington Co., The."
1-R-3769,"Scott & Williams, Inc.",. 2-R-7789,"TrutVue Optical Co., Inc."
1-R-3701,"Scovil Manufacturing Co., Oakville Co. Divi- sion.",7-R-2689,"Tuttle, H. W., & Co., The."
4-R-2669,"Scranton Broadcasters, Inc.",6-R-1751,Union Switch & Signal Co.
6-R-1744 8-R-2655,"Sharon Herald Co., The. Shenango Furnace Co., The.",13-R-4483,"U. S. Industrial Chemi- cals, Inc. United States Rubber Co."
9-R-2655 1-R-3810,"Short Way Bus Lines. Silex Co., The.",7-R-2698 1-R-3795,"United States Time Corp., The."
19-R-2146 7-R-2662 15-R-2222,"Smucker, J. M., & Co. Solvay Process Co., The. Southern Advance Bag",20-R-2250 15-R-2234,Wasatch Oil Refining Co. Waterman Steamship Corp.
16-R-2369 8-R-2691 10-R-2762,"& Paper Co., Inc. Southwestern Trailways. Steel Stamping Co. Stein-Way Clothing Co.",16-R-.2285 19-R-2127,Weaver Iron Works. Wenatchee-Wenoka Fruit Growers Associa-
5W-R-55,"Sterling Cotton Mills, Inc.",20-R-2102,teisotni. Westinghouse ghouse Electric Corp.
4-R-2589,Stewartstown Furniture Co.,,Wilmington Paper Box
5-R-2970,"Stillwater Worsted Mills, Inc.",4-R-2701 13M-R-23,Co. • Wisconsin
15-R-2180 5W-R-97 -,Stonewall Cotton Mills. Superior Manufacturing Co.,,Telephone Co.
