row_label,col_1,Fiscal year 1964 / Number of proceedings 1 / Total,Fiscal year 1964 / Number of proceedings 1 / Vs employers only,Fiscal year 1964 / Number of proceedings 1 / Vs unions only,Fiscal year 1964 / Number of proceedings 1 / Vs both employers and unions,Fiscal year 1964 / Number of proceedings 1 / Board dismissal,Fiscal year 1964 / Percentages / Vs employers only,Fiscal year 1964 / Percentages / Vs unions only,Fiscal year 1964 / Percentages / Vs both employers and unions,Fiscal year 1964 / Percentages / Board dismissal,"July 1, 1935 - June 30, 1964 / Number","July 1, 1935 - June 30, 1964 / Percent"
Proceedings decided by U.S. courts of appeals,259,193,43,11,12,,,,,,,
On petitions for review and/or enforcement,244,184,37,11,12,100,100,100,100,2719,100,
Board orders affirmed in full,134,105,20,1,8,57,54,9,67,1559,57,
Board orders affirmed with modification,55,41,7,3,4,22,19,46,0,569,21,
Remanded to Board,10,4,3,0,3,4,8,0,25,104,4,
Board orders partially affirmed and partially remanded,1,1,0,0,0,1,0,0,0,21,1,
Board orders set aside,44,33,6,4,1,18,16,36,8,477,18,
On petitions for contempt,15,9,6,0,0,100,100,,,,,
"Compliance after filing of petition, before court order",5,4,1,0,0,44,17,,,,,
Court orders holding respondent in contempt,10,5,5,0,0,56,83,,,,,
Court orders denying petition,0,0,0,0,0,,,,,,,
Proceedings decided by U.S. Supreme Court,6,3,1,0,2,100,100,,100,153,100,
Supreme Court,,,,,,,,,,,,
