Division and State,Total number of elections,Number of elections — A. F. of L. authorized,Number of elections — C. I. O. authorized,Number of elections — Unaffiliated unions authorized,Number of elections — No union authorized,Eligible voters,Total valid votes cast,Valid votes cast for union shop by affiliation of petitioners — A. F. of L. affiliates,Valid votes cast for union shop by affiliation of petitioners — C. I. O. affiliates,Valid votes cast for union shop by affiliation of petitioners — Unaffiliated unions,Valid votes cast against union shop
South Atlantic — Virginia,,,,,,,,,,,
South Atlantic — West Virginia,72,60,7,3,2,17712,14944,13261,818,254,611
South Atlantic — North Carolina,0,0,0,0,0,0,0,0,0,0,0
South Atlantic — South Carolina,24,19,3,0,2,5333,4230,912,2968,228,162
South Atlantic — Georgia,0,0,0,0,0,0,0,0,0,0,0
South Atlantic — Florida,0,0,0,0,0,0,0,0,0,0,0
East South Central — total,290,218,30,33,9,50322,41059,23656,11350,2303,2191
ESC — Kentucky,165,134,13,13,5,23928,22801,16334,4187,1338,1072
ESC — Tennessee,0,0,0,0,0,0,0,0,0,0,0
ESC — Alabama,99,58,10,19,2,19075,14172,7250,5479,1533,619
ESC — Mississippi,26,16,7,1,2,5319,4322,3032,1744,32,509
West South Central — total,265,187,29,31,19,24374,20895,13997,3178,2378,1353
WSC — Arkansas,0,0,0,0,0,0,0,0,0,0,0
WSC — Louisiana,146,105,17,20,4,17508,14955,11260,1975,1087,633
WSC — Oklahoma,119,82,11,11,15,6866,5888,2737,1156,1291,694
WSC — Texas,0,0,0,0,0,0,0,44,0,0,37
Mountain — total,483,397,35,39,14,17169,15304,11544,2016,861,920
Mtn — Montana,190,155,4,23,8,4489,4024,3280,188,349,207
Pacific — total,2857,2144,237,357,419,186142,159422,112229,23367,13604,10222
Pacific — Washington,629,499,46,69,15,45708,40659,29087,7314,1209,3049
Pacific — Oregon,599,417,104,46,32,27475,23054,15838,4383,896,1943
Pacific — California,1629,1228,87,242,82,111168,95295,66304,11670,11201,6118
Outlying areas — total,103,32,0,68,3,13303,9952,5033,0,4108,811
Outlying — Hawaii,12,12,0,0,0,62,51,49,0,0,0
Outlying — Puerto Rico,90,19,0,68,3,13041,9718,4827,0,4108,783
