Participating unions,Number of elections / Employees eligible to vote / Percent casting valid votes / Total valid votes cast,Elections won by / Valid votes cast for — A.F. of L. affiliates — Number,A.F. of L. affiliates — Percent,C.I.O. affiliates — Number,C.I.O. affiliates — Percent,Unaffiliated unions — Number,Unaffiliated unions — Percent,No union — Number,No union — Percent,Employees on units choosing union representation
A. ELECTIONS — Total,93,15,,8,,4,,66,,
A.F. of L. affiliates only,50,15,,,,,,35,,
C.I.O. affiliates only,23,,,8,,,,15,,
Unaffiliated unions only,19,,,,,4,,15,,
A.F. of L. – C.I.O. affiliates (joint),1,,,,,,,1,,
B. ELIGIBLE VOTERS AND VALID VOTES CAST — Total,6111,1000,20.4,940,17.6,366,6,2956,55.2,2632
A.F. of L. affiliates,2831,1078,43.6,,,,,1394,56.4,1225
C.I.O. affiliates,1723,,,938,64.2,,,522,35.8,1187
Unaffiliated unions,1420,,,,,366,27.7,953,72.3,220
A.F. of L. – C.I.O. affiliates (joint),135,,,,,,,85,,
