row_label,Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case — Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD — Jurisdictional disputes,Formal actions taken by type of case — CD — Unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CG,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined with representation cases,Formal actions taken by type of case — Other C combinations
10(k) notices of hearings issued,32,30,,,,30,,,,,,,,
Complaints issued,3559,2247,1898,143,35,,2,7,1,2,3,32,38,3
"Hearings completed, total",648,353,312,21,0,,0,0,0,0,0,3,17,0
"Decisions by administrative law judges, total",921,422,360,31,0,,0,0,1,0,0,5,25,2
"Decisions and orders by the Board, total",1375,696,586,45,8,,13,0,3,1,3,14,22,1
Contested — Initial ULP decisions,973,481,405,28,4,,13,0,3,1,2,10,15,0
