row_label,Participating unions,Total elections,Percent won,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Elections in which no representative chosen,Employees eligible to vote Total,In elections won — AFL-CIO unions,Teamsters,Other national unions,Other local unions,Eligible employees in elections where no representative chosen
Section C — AFL-CIO (1-union RM),103,19.4,20,20,,,,83,2862,686,686,,,,2176
Section C — 1-union RM elections subtotal,164,19.5,32,20,10,0,2,132,4279,1150,686,309,0,155,3129
Section C — Total RM elections,168,20.8,35,23,10,0,2,133,5908,2756,2292,309,0,155,3152
Section D — AFL-CIO (1-union RD),493,57.7,127,127,,,,366,25579,11081,11081,,,,14498
Section D — Teamsters (1-union RD),301,18.6,56,,56,,,245,10061,6001,,1941,,,4060
Section D — 1-union RD subtotal,844,23.7,200,127,56,2,15,644,33588,13675,11081,1941,87,566,19913
Section D — 2-union RD subtotal,13,84.6,11,4,1,0,6,2,2633,2052,1627,5,0,420,581
