row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,561,100.0,195,34.8,344,61.3,22,3.9
By type of case: RC cases,492,100.0,160,32.5,321,65.3,11,2.2
By type of case: RM cases,10,100.0,3,30.0,6,60.0,1,10.0
By type of case: RD cases,59,100.0,32,54.2,17,28.8,10,17.0
By type of election: Consent elections,5,100.0,1,20.0,3,60.0,1,20.0
By type of election: Stipulated elections,360,100.0,80,22.2,275,76.4,5,1.4
By type of election: Expedited elections,4,100.0,2,50.0,2,50.0,0,
By type of election: Regional Director-directed elections,190,100.0,112,58.9,64,33.7,14,7.4
By type of election: Board-directed elections,2,100.0,0,,0,,2,100.0
