row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,4259,323,7.6,148,3.5,92,2.2,415,97,240,5.6
By type of case.,,,,,,,,,,,
In RC cases,3483,287,8.2,124,3.6,85,2.4,372,10.7,209,6.0
In RM cases .,132,10,7.6,9,6.8,1,0.8,11,8.3,10,7.6
In RD cases,644,26,4.0,15,23,6,09,32,5.0,21,33
By type of election.,,,,,,,,,,,
Consent elections,65,3,46,2,3.1,0,0.0,3,4.6,2,3.1
Stipulated elections,3517,211,6.0,118,34,85,2.4,296,8.4,203,5.8
Expedited elections,10,1,100,1,10.0,1,10.0,2,200,2,20.0
Regional Director-directed elections,654,103,15.7,27,41,6,0.9,109,16.7,33,5.0
Board-directed elections.,13,5,385,0,0.0,0,0.0,5,38.5,0,0.0
