Standard Federal Region,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Amendment of certification cases / UD,Unit clarification cases / AC,UC
Region IV—continued,,,,,,,,,,,,,,,,
South Carolina,185,164,123,40,1,0,0,0,0,21,18,3,0,0,0,0
Tennessee,659,572,475,94,3,0,0,0,0,85,63,15,7,0,1,1
Region V,4711,4155,3396,711,23,,,,1,456,359,10,86,1,3,20
Region VI,9642,8031,5950,1846,138,38,6,9,42,1507,1172,39,296,9,,71
Region VII,1464,1094,881,186,19,,,,7,362,251,30,71,4,1,7
Region VIII,1076,929,777,130,,,,,,106,75,5,28,,4,
