Type of formal action taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD — Jurisd. disputes,Formal actions taken by type of case — CD — Under unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CG,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined CA-CB-CG cases,Formal actions taken by type of case — Other C combinations
10(b) notices of hearings issued,37,4921,3857,553,74,,,,,,42,49,193
  Complaints issued,33,3851,3037,350,53,,,,,,29,33,11
  Backpay specifications issued,4,120,115,,,,,,,,,,
Hearings completed (total),725,635,513,66,6,,,,,,,14,11
Decisions by administrative law judges (total),1050,713,574,89,7,,,,,,,,13
Decisions and orders by the Board (total),994,907,728,80,14,,,,,,17,39,16
