Circuit courts of appeals (headquarters),Total fiscal year 1968,Total cumulative fiscal years 1953-67,Affirmed in full Fiscal 1968 Number,Affirmed in full Fiscal 1968 Percent,Affirmed in full Cumulative 1953-67 Number,Affirmed in full Cumulative 1953-67 Percent,Modified Fiscal 1968 Number,Modified Fiscal 1968 Percent,Modified Cumulative 1953-67 Number,Modified Cumulative 1953-67 Percent,Remanded in full Fiscal 1968 Number,Remanded in full Fiscal 1968 Percent,Remanded in full Cumulative 1953-67 Number,Remanded in full Cumulative 1953-67 Percent,Affirmed in part and remanded in part Fiscal 1968 Number,Affirmed in part and remanded in part Fiscal 1968 Percent,Affirmed in part and remanded in part Cumulative 1953-67 Number,Affirmed in part and remanded in part Cumulative 1953-67 Percent,Set aside Fiscal 1968 Number,Set aside Fiscal 1968 Percent,Set aside Cumulative 1953-67 Number,Set aside Cumulative 1953-67 Percent
Total all circuits,301,1131,177,58.8,657,58.1,52,17.3,218,19.3,9,3.0,40,3.5,6,2.0,20,1.8,37,12.3,187,16.5
"1. Boston, Mass.",13,66,9,69.2,40,60.6,1,7.7,12,18.2,1,7.7,1,1.5,0,0,1,1.5,2,15.4,12,18.2
Per-circuit,,,,,,,,,,,,,,,,,,,,,,
