Proceedings,Fiscal year 1970 / Number of proceedings / Total,Fiscal year 1970 / Number of proceedings / Vs. employers only,Fiscal year 1970 / Number of proceedings / Vs. unions only,Fiscal year 1970 / Number of proceedings / Vs. both employers and unions,Fiscal year 1970 / Number of proceedings / Board dismissal,Fiscal year 1970 / Percentages / Vs. employers only,Fiscal year 1970 / Percentages / Vs. unions only,Fiscal year 1970 / Percentages / Vs. both employers and unions,Fiscal year 1970 / Percentages / Board dismissal,"July 5, 1935- June 30, 1970 / Number","July 5, 1935- June 30, 1970 / Percent"
Proceedings decided by U.S. courts of appeal,338,297,35,2,6,,,,,,
On petitions for review and/or enforcement,322,283,31,2,6,100.0,100.0,100.0,100.0,4337,100.0
Board orders affirmed in full,219,188,24,2,,66.4,77.4,100.0,,2545,58.8
Board orders affirmed with modification,38,29,4,,,10.2,,,83.3,535,12.3
Remanded to Board,20,19,1,,,6.7,3.2,,,,
Board orders partially affirmed and partially remanded,19,16,1,,,5.7,,,16.7,385,8.9
Board orders set aside,19,32,1,,,11.0,,,,700,16.1
On petitions for contempt,16,14,2,0,,100.0,100.0,,,,
Compliance after filing of petition before court,8,6,2,,,42.9,100.0,,,,
Court orders holding respondent in contempt,5,5,0,,,35.7,,,,,
Court orders denying petition,3,3,0,,,21.4,,,,,
Proceedings decided by U.S. Supreme Court,5,5,0,0,,100.0,,,,185,100.0
Board orders affirmed in full,2,2,,,,,,,,113,61.1
Board orders affirmed with modification,0,,,,,,,,,3,1.6
Board orders set aside,1,1,,,,16.7,,,,29,15.7
Remanded to court of appeals,2,2,,,,33.3,,,,12,6.5
Board's request for reversal or modification of enforcement order denied,,,,,,,,,,23,12.4
Contempt cases remanded to court of appeals,,,,,,,,,,1,0.5
Contempt cases enforced,,,,,,,,,,1,0.5
