Union affiliation,Elections participated in / Total,Elections participated in / Resulting in certification / Number,Elections participated in / Resulting in certification / Percent of total,Elections participated in / Resulting in decertification / Number,Elections participated in / Resulting in decertification / Percent of total,Employees involved in elections (number eligible to vote) / Total eligible,Employees involved in elections (number eligible to vote) / Resulting in certification / Number,Employees involved in elections (number eligible to vote) / Resulting in certification / Percent of total eligible,Employees involved in elections (number eligible to vote) / Resulting in decertification / Number,Employees involved in elections (number eligible to vote) / Resulting in decertification / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total elections,150,48,32.0,102,68.0,10244,4309,42.1,5935,57.9,9089,88.7,4315,47.5
A.F.L.,97,29,29.9,68,70.1,4255,1958,46.0,2297,54.0,3847,90.4,1814,47.2
C.I.O.,34,14,41.2,20,58.8,3611,2019,55.9,1592,44.1,3252,90.1,1742,53.6
Unaffiliated,19,5,26.3,14,73.7,2378,332,14.0,2046,86.0,1990,83.7,759,38.1
