row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
AFL-CIO,2651,403,1069,1069,,,,1582,165305,55009,55009,,,,110296
Teamsters,1365,366,500,,500,,,865,46924,12989,,12989,,,33935
Other national unions Other local unions,101 249,475 542,48 135,,,48 -,- 135,53 114,"6,505 11,766","1,933 5,055",,,"1,933 -",5055,"4,572 6,711"
1-union elections,4366,40 1,1752,1069,500,48,135,2614,230500,74986,55009,12989,1933,5055,155514
AFL-CIO v AFL-CIO,59,72 9,43,43,,,,16,6033,2536,2536,,,,3497
AFL-CIO v Teamsters,71,873,62,44,18,,,9,3903,2884,751,2133,,,1019
AFL-CIO v National,17,824,14,10,,- 4,,3,3608,2518,840,,1678,,1090
AFL-CIO v Local,45,933,42,20,,,22,3,5153,4574,2129,,,2445,579
Teamsters v National,5,600,3,,2,1,,2,480,343,,330,13,,137
Teamsters v Local,16,813,13,,8,,5,3,628,453,,394,,59,175
Teamsters v Teamsters,3 4,00 750,0 3,,0 -,-- 1,- 2,3 1,121 242,0 212,,0 -,- 42,- 170,121 30
National v Local,22,864,19,,,,19,3,2397,2264,,,,2264,133
Local v Local 2-union elections,242,822,199,117,28,6,48,43,22565,15784,6256,2857,1733,4938,6781
,3,667,2,,0,,,1,908,144,144,0,,,764
AFL-CIO v AFL-CIO v Teamsters,1,100 0,1,2 0,0,,- 1,0,65,65,0,0,,65,0
AFL-CIO v Teamsters v Local AFL-CIO v Local v Local,2,1000,2,0,,,2,0,182,182,0,,,182,0
3 (or more)-union elections,6,833,5,2,0,0,3,1,1155,391,144,0,0,247,764
Total representation elections,4614,424,1956,1188,528,54,186,2658,254220,91161,61409,15846,3666,10240,163059
