row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Maine .,8,1,1,0,0,7,1723,1627,639,639,0,0,988,77
New Hampshire,11,5,5,0,0,6,534,523,220 148,220,0,0,303,69
Vermont •,6 74,3,2,1,0,3,266,"250 4,798",2539,"115 2,265",33 274,0 0,"102 2,259","215 2,827"
Massachusetts Rhode,,34,32,2 2,0,40,"5,322 1,001",945,534,433,101,0,411,635
Island,14,9,7,,0,5,,,,,,,,961
Connecticut,44,26,22,0,4,18,1897,1625,834,803,0,31,791,
New England,157,78,69,5,4,79,10743,9768,4914,4475,408,31,4854,4784
New York New Jersey,243 132,141,109 50,7 4,25 5,102 73,"10,730 6,824","8,722 5,658",4710,"3,555 2,227",269 211,886 241,"4,012 2,979","5,967 3,022"
Pennsylvania ..,,59,,8,14,116,11035,,"2,679 4,604",3329,,839,5225,4077
,228,112,90,,,,,9829,,,436,,12216,
Middle Atlantic Ohio,603,312,249,19,44,291,28.589,24209,11993,9111,916,"1,966 58",,"13,066 4,732"
Indiana,179 83,74 46,71 45,2 0,1 1,105 37,"15.796 5,311","14,527 4,910","6,378 2,412","6,076 2,370",244 0,42,"8.149 2,498",2.149
Illinois,174,89,81,1,7,85,7725,6826,3298,3027,80,191,3528,3486
,,,,,,85,,,,4495,153,152,5168,
Michigan Wisconsin,177 83,92 39,81 36,5 1,6 2,44,"11,141 6,060","9,968 5,299","4,800 2,730",2422,70,238,2569,"4,560 2.849"
East North Central,696,340,314,9,17,356,46033,41530,19618,18390,547,681,21912,17.776
Iowa,32,18,16,0,2,14,1574,1266,698,648,29,21,568,915
Minnesota,71,28,26,0,2,43,5153,4345,1941,1815,0,126,2404,1334
Missouri,89,45,40,2,3,44,6130,5018,2421,2331,52,38,2597,2415
North Dakota,9,4,3,0,1,5,822,647,305,88,0,217,342,569
South Dakota,9,7,7,0,0,2,182,172,82,82,0,0,90,86
Nebraska,12,5,5,0,0,7,465,396,145,145,0,0,251,70
Kansas,17,6,6,0,0,11,1209,1.135,406,406,0,0,729,371
West North Central,239,113,103,2,8,126,15.535,12979,5998,5515,81,402,6981,5760
