Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees not voting
Ordnance and accessories,26,15,9,4,1,1,11,3912,3448,1709,1019,250,298,142,1539,1811
Food and kindred products,555,308,161,117,17,13,247,39606,34918,19956,12033,5664,1195,1064,14962,20036
Tobacco manufactures,7,4,1,1,2,,3,1941,1756,1210,437,250,0,,546,1854
Textile mill products,86,40,25,5,9,1,46,19937,12370,5835,4892,237,755,21,6535,3814
