Type of litigation,Number of proceedings / Totals-all courts / Number decided,Number of proceedings / Totals-all courts / Court determination Upholding Board position,Number of proceedings / Totals-all courts / Court determination Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination Upholding Board position,Number of proceedings / In courts of appeals / Court determination Contrary to Board position,Number of proceedings / In district courts / Number decided,Number of proceedings / In district courts / Court determination Upholding Board position,Number of proceedings / In district courts / Court determination Contrary to Board position,Number of proceedings / In bankruptcy courts / Court determination,col_11,col_12
Totals-all types,20,18,2,9,8,1,10,9,1,1,1,0
NLRB-initiated actions or interventions,0,0,0,0,0,0,0,0,0,0,0,0
To quash state court subpoena,1,1,0,0,0,0,0,0,0,1,1,0
To enforce subpoena,4,4,0,2,2,0,2,2,0,0,0,0
To stay collateral action,0,0,0,0,0,0,0,0,0,0,0,0
Action by review parties,0,0,0,0,0,0,0,0,0,0,0,0
To review,0,0,0,0,0,0,0,0,0,0,0,0
Prosecutorial discretion,1,1,0,0,0,0,1,1,0,0,0,0
Nonfinal orders,0,0,0,0,0,0,0,0,0,0,0,0
Attorney discipline orders,0,0,0,0,0,0,0,0,0,0,0,0
To restrain NLRB from,0,0,0,0,0,0,0,0,0,0,0,0
Enforcing Board subpoenas,1,1,0,1,1,0,0,0,0,0,0,0
Proceeding in court,1,1,0,1,1,0,0,0,0,0,0,0
Proceeding in unfair labor practice case,2,2,0,0,0,0,2,2,0,0,0,0
Collecting pursuant to settlement agreement,1,1,0,0,0,0,1,1,0,0,0,0
To compel NLRB to,0,0,0,0,0,0,0,0,0,0,0,0
Issue complaint,3,3,0,2,2,0,1,1,0,0,0,0
Take action in R case,3,3,0,2,2,0,1,1,0,0,0,0
Comply with Freedom of Information Act (FOIA),1,1,0,0,0,0,1,1,0,0,0,0
Take action in compliance proceeding,1,1,0,0,0,0,1,1,0,0,0,0
Take action in C case,1,1,0,0,0,0,1,1,0,0,0,0
