Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Attendance of certification cases / AC,Unit clarification cases / UC
New England (division),2160,1467,948,376,80,32,4,2,12,640,548,33,53,3,3,11
Middle Atlantic (division),8299,5679,3211,1730,401,167,21,12,137,2464,2210,78,172,4,3,78
East North Central (division),10759,7462,5247,2118,302,89,39,16,56,2700,2287,160,207,4,9,50
West North Central (division),3115,2066,1306,496,171,45,8,3,9,1014,894,32,88,1,3,13
