Participating unions,Total elections,Elections won by unions / Per cent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In elections won by,Employees eligible to vote / AFL-CIO,Employees eligible to vote / Other national unions,Employees eligible to vote / Other local unions,In elections where no representative chosen
B. Elections in RC cases,,,,,,,,,,,,,
AFL-CIO,2633,46.1,1213,1213,,,1420,159773,57507,57507,,,102266
Other national unions,103,57.3,59,,59,,44,6776,2137,,2137,,4639
Other local unions,155,63.2,98,,,98,57,7748,4065,,,4065,3683
1-union elections,2891,47.4,1370,1213,59,98,1521,173697,63699,57507,2127,4065,109998
2-union elections,121,86.0,104,66,11,27,17,11542,9072,5690,1224,2158,2470
3 (or more)-union elections,8,87.5,7,5,0,2,1,947,739,366,0,175,228
Total RC elections,3020,49.0,1481,1284,70,127,1539,186339,73643,63894,3351,6398,112696
C. Elections in RM cases,,,,,,,,,,,,,
AFL-CIO (RM),57,24.6,14,14,,,43,2094,581,581,,,1513
Other local unions (RM),2,100.0,1,,,1,0,41,41,,,41,
1-union elections (RM),59,27.1,16,14,,2,43,2560,1047,581,0,425,1513
Total RM elections,59,27.1,16,14,,2,43,2560,1047,581,0,425,1513
