Subsection / combination,Number of cases showing specific allegations,Percent of total
Total,4472,100.0
8(a)(1),352,7.9
8(a)(1)(2),118,2.6
8(a)(1)(3),2333,52.2
8(a)(1)(4),10,.2
8(a)(1)(5),690,15.4
8(a)(1)(2)(3),284,6.4
8(a)(1)(2)(5),1,0
8(a)(1)(3)(4),87,2.0
8(a)(1)(3)(5),60,1.3
8(a)(1)(4)(5),444,9.9
8(a)(1)(2)(3)(4),5,.1
8(a)(1)(2)(3)(5),66,1.5
8(a)(1)(2)(4)(5),1,(1)
8(a)(1)(3)(4)(5),13,.3
8(a)(1)(2)(3)(4)(5),8,.2
8(a)(1),4472,100.0
8(a)(2),570,12.7
8(a)(3),3213,72.0
8(a)(4),98,2.2
8(a)(5),1309,29.3
