State,Number of elections and cross checks,Elections and cross checks won by / A. F. of L. affiliates,Elections and cross checks won by / C. I. O. affiliates,Elections and cross checks won by / Unaffiliated unions,Elections and cross checks won by / No union,Eligible voters,Valid votes cast / Total,Valid votes cast / A. F. of L. affiliates,Valid votes cast / C. I. O. affiliates,Valid votes cast / Unaffiliated unions,Valid votes cast / Against unions
Total,5589,2004,1958,484,1143,846431,698812,175332,263641,90874,168965
Alabama,87,22,52,4,9,9230,7859,1143,4197,1232,1287
Arizona,24,4,18,0,2,1575,1265,264,892,0,109
Arkansas,24,8,8,0,8,2630,2235,1081,744,0,410
California,467,172,151,42,102,47664,37239,10620,9989,7411,9219
Colorado,90,58,16,6,10,5104,3549,1443,374,1080,652
Connecticut,94,37,34,7,16,24234,19531,3887,8269,2626,4749
Delaware,9,2,3,2,2,3148,2828,137,562,1343,786
District of Columbia,26,10,9,3,4,1703,1449,378,494,128,449
Florida,34,20,6,1,7,1953,1563,653,357,25,528
Georgia,112,40,45,0,27,15358,12846,2052,5786,0,5008
Idaho,15,5,7,0,3,3282,2466,849,1352,0,265
Illinois,390,128,158,26,78,74072,62415,16158,26295,7174,12788
Indiana,172,52,72,14,34,33740,26788,4688,10538,4302,7260
Iowa,61,29,18,3,11,4186,3571,1416,1306,256,593
Kansas,35,13,12,2,8,3021,2644,863,800,568,413
Kentucky,67,36,8,2,21,4956,4001,2222,458,134,1187
Louisiana,62,20,21,7,14,10591,8747,3556,3058,689,1444
Maine,28,16,2,3,7,7609,5986,2414,1786,1150,636
Maryland,107,38,25,13,31,22392,18083,4158,5315,3563,5047
Massachusetts,285,86,98,45,56,65691,54823,12648,23758,3892,14525
Michigan,213,61,82,20,50,22382,18964,3397,7213,2722,5632
Minnesota,72,28,35,1,8,12711,10742,1942,5372,345,3083
Mississippi,26,12,13,0,1,4487,3568,1536,1497,92,443
Missouri,181,93,46,8,34,24231,19131,8373,5511,1114,4133
Montana,9,6,1,0,2,470,416,160,107,55,94
Nebraska,37,14,11,2,10,2071,1759,787,278,413,281
Nevada,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,37,10,14,2,11,4724,4113,1024,1662,99,1328
New Jersey,225,53,93,37,42,41039,35275,5645,14034,7590,8006
New Mexico,15,6,3,1,5,1817,1217,422,347,269,179
New York,595,199,254,43,99,88458,75268,18793,30800,11230,14445
North Carolina,77,16,30,2,29,15312,12739,1381,5655,149,5554
North Dakota,6,3,0,0,3,89,82,36,0,0,46
Ohio,416,133,136,69,78,61845,51180,11156,17772,7919,14333
Oklahoma,72,27,21,5,19,6277,5311,1368,1549,198,2196
Oregon,88,45,23,0,20,8675,6311,2980,1966,0,1365
Pennsylvania,395,97,171,44,83,80207,66306,11085,32458,9346,13417
Rhode Island,53,16,10,11,16,10709,9415,1995,3523,1709,2188
South Carolina,19,7,6,0,6,5741,4575,1537,1234,0,1804
South Dakota,5,3,0,0,2,200,167,91,0,0,76
Tennessee,140,48,53,6,33,19904,16100,5709,4887,1032,4472
Texas,238,100,66,14,58,24186,19331,6190,6226,1666,5249
Utah,5,1,2,0,2,859,751,267,341,0,143
Vermont,17,3,9,0,5,1843,1672,185,685,239,563
Virginia,120,52,28,15,25,18058,15255,5270,3560,2440,3985
Washington,80,58,12,2,8,7480,5438,2734,1015,908,781
West Virginia,65,16,19,8,22,12029,10633,2486,2133,1165,4849
Wisconsin,88,48,19,8,13,20685,16853,6460,4190,4051,2152
Wyoming,9,4,2,1,2,538,376,79,69,172,56
Alaska,0,0,0,0,0,0,0,0,0,0,0
Hawaii,89,49,35,0,5,6235,5210,1614,3071,0,525
Puerto Rico,8,0,1,5,2,1030,766,0,156,378,232
