row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
B. By number of employees af- fected:.,,,,,,,,,,,,,
"Employees offered reinstate- ment, total",3023,3023,2306,270,91,181,175,,,,,,
Accepted Declined,"2,454 569","2,454 569","1,944 362",229 41,91 0,84 97,106 69,,,,,,
Employees placed on pref- erential hiring list,656,656,631,4,0,20,1,0,0,0,0,0,0
Hiring hall nghts restored,67,,,,,,,67,66,0,0,1,0
Objections to employment withdrawn Employees receiving backpay:,21,,,,,,,21,20,0,0,1,0
From either employer or union,18242,17661,12302,693,80,2258,2328,581,143,368,0,65,5
From both employer and union,142,63,52,0,0,11,0,79,,0,0,7,0
"Employees reimbursed for fees, dues, and fines: From either employer or",2042,1640,764,9,0,867,0,402,390,0,0,12,0
union From both employer and union,259,149,149,0,0,0,0,110,110,0,0,0,0
