Method and stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases 1 / Number of cases,RC cases 1 / Percent of cases closed,RM cases 1 / Number of cases,RM cases 1 / Percent of cases closed,RD cases 1 / Number of cases,RD cases 1 / Percent of cases closed
Total number of cases closed,10218,100 0,8853,100 0,763,100 0,602,100.0
Consent election,2834,27 7,2584,29 2,158,20 7,92,15 3
Before notice of hearing (Consent election),1965,19 2,1789,20 2,121,15 8,55,9 1
"After notice of hearing, before hearing opened (Consent election)",750,7 3,685,7 7,31,4 1,34,5.7
"After hearing opened, before Board decision (Consent election)",119,1 2,110,1 3,6,.8,3,.5
Stipulated election,1898,18 6,1764,19 9,95,12 5,39,6 5
Before notice of hearing (Stipulated election),890,8 7,821,9 3,55,7 2,14,2 3
"After notice of hearing, before hearing opened (Stipulated election)",712,7 0,671,7 5,27,3.6,14,2.3
"After hearing opened, before Board decision (Stipulated election)",122,1 2,114,1 3,5,.7,3,.5
After postelection decision (Stipulated election),174,1 7,158,1 8,8,1.0,8,1 4
Regional director-directed election,35,.3,15,.1,20,2 6,,
Before notice of hearing (Regional director-directed election),32,.3,13,.1,19,2 5,,
"After notice of hearing, before hearing opened (Regional director-directed election)",3,,2,,1,.1,,
Withdrawn,2478,24 3,2024,22 9,261,34 2,193,32 0
Before notice of hearing (Withdrawn),1506,14 7,1178,13 3,184,24 1,144,23 9
"After notice of hearing, before hearing opened (Withdrawn)",660,6 5,567,6 4,58,7 6,35,5.8
"After hearing opened, before Board decision (Withdrawn)",160,1 6,139,1 6,10,1 3,11,1.8
After Board decision and direction of election (Withdrawn),152,1 5,140,1 6,9,1 2,3,.5
Dismissed,1063,10 4,750,8 5,143,18 7,170,28 2
Before notice of hearing (Dismissed),616,6 0,413,4 7,80,10 5,123,20 4
"After notice of hearing, before hearing opened (Dismissed)",67,.7,47,.6,8,1 0,12,2 0
"After hearing opened, before Board decision (Dismissed)",30,.3,15,.1,8,1.0,7,1 2
By Board decision (Dismissed),350,3 4,275,3 1,47,6 0,28,4 6
Board-ordered election,1910,18 7,1716,19 4,86,11 3,108,18 0
