row_label,Division and State,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Maine,105,79,45,7,0,0,0,0,0,,16,1,8,1,1,,
New England (subtotal),2121,1706,1311,317,64,1,0,0,8,337,270,12,55,33,5,30,
Middle Atlantic (subtotal — New York/New Jersey/Pennsylvania),7565,6103,4322,1618,179,47,0,0,32,1255,1003,51,199,32,8,87,
East North Central (subtotal — Ohio/Indiana/Illinois/Michigan/Wisconsin),9234,7377,5363,1634,216,47,3,0,68,1811,1422,88,301,48,10,61,
West North Central (subtotal — Iowa/Missouri/North Dakota/South Dakota/Nebraska/Kansas),2521,1896,1321,416,102,21,0,0,30,594,454,34,126,8,4,19,
