row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Connecticut...........................................................,587,502,417,76,5,1,0,2,1,77,58,2,,2,0,6
Massachusetts.......................................................,913,768,641,107,12,7,0,1,0,132,112,2,17 18,4,1,8
Maine....................................................................,111,96,79,16,0,1,0,0,0,15,12,0,3,0,0,0
New Hampshire....................................................,70,59,49,10,0,0,0,0,0,10,9,0,1,0,0,1
Rhode Island.........................................................,166,139,122,14,1,0,2,0,0,25,22,0,3,1,0,1
Vermont................................................................,69,52,43,7,1,0,0,1,0,12,11,0,1,0,1,4
Region I...........................................................,1916,1616,1351,230,19,9,2,4,1,271,224,4,43,7,2,20
Delaware...............................................................,128,100,83,16,0,1,0,0,0,28,24,0,4,0,0,0
New Jersey............................................................,1476,1196,909,246,25,11,0,1,4,262,229,7,26,9,0,9
New York.............................................................,3743,3143,2054,955,76,24,3,5,26,561,483,16,62,14,1,24
Puerto Rico...........................................................,467,376,297,75,2,0,0,2,0,76,63,0,13,0,0,15
Virgin Islands.......................................................,26,21,13,8,0,0,0,0,0,5,5,0,0,0,0,0
Region II..........................................................,5840,4836,3356,1300,103,36,3,8,30,932,804,23,105,23,1,48
District Of Columbia............................................,186,140,97,39,2,0,0,2,0,41,36,1,4,0,0,5
Maryland..............................................................,349,275,226,45,3,0,0,1,0,74,64,0,10,0,0,0
Pennsylvania.........................................................,2096,1735,1374,307,30,20,1,1,2,338,284,7,47,5,3,15
Virginia.................................................................,433,367,325,40,0,1,0,1,0,64,55,0,9,0,1,1
West Virginia........................................................,369,310,250,54,2,2,0,0,2,59,52,0,7,0,0,0
Region III........................................................,3433,2827,2272,485,37,23,1,5,4,576,491,8,77,5,4,21
Alabama................................................................,449,400,323,77,0,0,0,0,0,48,32,3,13,1,0,0
Florida..................................................................,1221,1046,908,136,2,0,0,0,0,173,158,2,13,0,0,2
Georgia.................................................................,519,468,364,100,4,0,0,0,0,48,41,0,7,0,0,3
Kentucky..............................................................,493,407,345,55,2,0,1,3,1,80,63,1,16,1,0,5
Mississippi............................................................,179,165,128,37,0,0,0,0,0,13,12,0,1,0,1,0
North Carolina......................................................,325,297,242,53,2,0,0,0,0,27,15,2,10,0,0,1
South Carolina......................................................,137,120,103,17,0,0,0,0,0,17,13,0,4,0,0,0
Tennessee.............................................................,547,481,374,105,2,0,0,0,0,63,46,2,15,0,0,3
Region IV........................................................,3870,3384,2787,580,12,0,1,3,1,469,380,10,79,2,1,14
Illinois...................................................................,2004,1616,1066,378,98,46,1,3,24,374,297,11,66,5,0,9
Indiana..................................................................,950,819,688,123,5,3,0,0,0,127,97,4,26,2,0,2
Michigan...............................................................,1825,1544,1082,425,20,9,2,2,4,265,207,7,51,9,0,7
Minnesota.............................................................,428,291,234,49,5,0,1,0,2,125,94,0,31,3,0,9
Ohio......................................................................,2132,1855,1418,394,31,6,1,2,3,257,206,2,49,5,1,14
Wisconsin.............................................................,654,534,,,4,4,,,,,,1,,2,,
V..........................................................,,,391,132,,,1,2,0,112,84,25,27 250,26,0 1,6 47
Region,7993,6659,4879,1501,163,68,6 0,9,33,1260,985,1,3,0,0,2
Arkansas............................................................... Louisiana..............................................................,200 299,178 261,137 193,40 65,0 2,0 1,0,0 0,1 0,21 36,17 30,2,4,0,0,1
