row_label,All cases — Number,All cases — Percent,RC cases — Number,RC cases — Percent,RM cases — Number,RM cases — Percent,RD cases — Number,RD cases — Percent,UD cases — Number,UD cases — Percent
"Total, all",7952,100.0,5687,100.0,614,100.0,1651,100.0,259,100.0
"Certification issued, total",5027,63.2,3917,68.9,246,40.1,864,52.3,130,50.2
After Consent election,177,2.3,121,2.2,8,1.3,48,2.9,9,3.5
Stipulated election,4083,51.3,3181,55.9,182,29.7,722,43.6,101,39.0
Expedited election,8,0.1,2,0.0,0,0.0,5,0.3,1,0.4
Regional director directed election,748,9.4,606,10.7,50,8.1,92,5.6,20,7.7
Board directed election,9,0.1,7,0.1,0,0.0,1,0.1,1,0.4
"By withdrawal, total",2368,29.7,1562,27.4,282,42.6,544,33.0,99,38.2
"By dismissal, total",557,7.0,208,3.6,86,14.0,243,14.7,30,11.6
