row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representation rights were won,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in elections choosing representation
Maine,29,8,5,5,1,1,1,20,4173,3036,1486,1070,373,333,82,2152,929
Geographic-by-state,,,,,,,,,,,,,,,,,
New England,438,212,153,37,13,19,226,29624,25883,13170,8796,2145,1204,1025,12713,13110,
Middle Atlantic,1367,679,376,186,39,78,688,94338,82815,47188,24854,5210,3508,12616,35627,45178,
East North Central,1951,951,550,260,100,41,1000,113330,99989,47521,26028,7267,9330,3188,52948,40956,
West North Central,666,340,193,117,11,20,326,31372,27150,13496,8373,2462,1179,1482,13654,13323,
