row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Information...........................................,55,26,22,4,0,29,2274,2075,1075,851,223,1,1000,1264
Monetary Authorities- Central Bank........,3,1,1,0,0,2,94,84,43,35,8,0,41,6
Credit Intermediation and Related Activities...................................................,1,1,1,0,0,0,47,46,29,29,0,0,17,47
Insurance Carriers and Related Activities.,1,1,0,1,0,0,5,4,4,0,4,0,0,5
Finance and Insurance..........................,5,3,2,1,0,2,146,134,76,64,12,0,58,58
Real Estate.................................................,12,10,3,6,1,2,102,94,75,21,24,30,19,97
Rental and Leasing Services.....................,20,12,8,4,0,8,342,281,136,50,86,0,145,137
Real Estate and Rental and Leasing.....,32,22,11,10,1,10,444,375,211,71,110,30,164,234
"Professional, Scientific, and Technical Services................................................",16,10,8,1,1,6,365,282,142,122,12,8,140,219
Management of Companies and Enterprises............................................,4,4,3,1,0,0,19,9,9,8,1,0,0,19
Administrative and Support Services........,167,129,28,87,14,38,8991,6465,4376,1018,2773,585,2089,6413
Waste Management and Remediation Services.....................................................,46,25,8,17,0,21,1322,1219,614,166,379,69,605,583
Administrative and Support and Waste Management and Remediation Services...............................................,213,154,36,104,14,59,10313,7684,4990,1184,3152,654,2694,6996
Educational Services............................,22,19,8,9,2,3,1397,997,703,261,359,83,294,1295
Ambulatory Health Care Services............ Hospitals....................................................,56 106,24 84,2 17,15 57,7 10,32 22,"5,109 13,668","3,655 10,857","1,801 6,881","203 1,028","1,455 4,728","143 1,125","1,854 3,976","1,931 11,548"
Facilities....,164,,,,5,54,10881,8332,5215,553,,79,3117,7546
Nursing and Residential Care Social Assistance......................................,29,110 21,14 13,91 7,1,8,2883,1861,1282,726,"4,583 434",122,579,2671
Health Care and Social Assistance......,355,239,46,170,23,116,32541,24705,15179,2510,11200,1469,9526,23696
"Performing Arts, Spectator Sports, and Related Industries......................................",11,9,6,2,1,2,605,542,309,129,19,161,233,528
"Museums, Historical Sites, and Similar Institutions.................................................",2,2,1,1,0,0,15,15,9,2,7,0,6,15
