row_label,Method and stage of disposition,All R cases Number,All R cases Percent,RC cases Number,RC cases Percent,RM cases Number,RM cases Percent,RD cases Number,RD cases Percent,UD cases Number,UD cases Percent
"Total, all","Total, all",13542,100.0,11436,100.0,948,100.0,1158,100.0,192,100.0
"Certification issued, total","Certification issued, total",8984,66.3,8037,70.3,445,46.9,502,43.4,108,56.2
Consent election,Consent election,1314,9.6,1136,9.9,80,8.4,98,8.5,26,13.5
Stipulated election,Stipulated election,6070,44.5,5445,47.6,272,28.7,303,26.2,50,26.0
Expedited election,Expedited election,30,0.2,0,0,0,0,0,0,30,15.6
Regional director-directed election,Regional director-directed election,1559,11.5,1395,12.2,92,9.7,97,8.4,0,0
Board-directed election,Board-directed election,61,0.5,51,0.4,6,0.6,0,0,4,2.1
"By withdrawal, total","By withdrawal, total",3423,25.3,2680,23.5,344,30.3,390,33.7,70,36.5
By dismissal,By dismissal,1135,8.4,719,6.2,159,16.8,266,22.9,14,7.3
