Division and State,Total elections,Number of elections in which representation rights won by unions — Total,Number of elections in which representation rights won by unions — AFL-CIO,Number of elections in which representation rights won by unions — Teamsters,Number of elections in which representation rights won by unions — Other national,Number of elections in which representation rights won by unions — Other local,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total votes for no union,Eligible employees in units choosing representation
Maine,39,12,9,2,0,1,27,2037,1898,798,665,133,0,0,1100,348
New Hampshire,36,16,9,0,2,0,20,1080,944,427,331,63,0,0,0,397
Vermont,6,3,2,0,0,1,3,45,43,26,26,0,0,0,9,20
Massachusetts,263,131,61,59,5,9,129,15113,13628,5331,3647,1250,76,348,7597,4852
Rhode Island,30,14,10,2,1,1,15,1319,1312,529,485,34,0,0,0,478
Connecticut,105,49,24,11,5,1,56,2446,1628,400,164,274,0,0,0,3397
New England — Division total,479,229,110,86,7,16,251,26241,23593,9916,6761,1929,440,1016,13847,8113
New York,485,273,145,84,33,27,212,24434,20074,11567,5776,2239,1977,521,5706,11170
New Jersey,364,190,80,63,29,18,174,14245,12617,6617,2871,2239,971,536,0,5074
Pennsylvania,582,258,163,58,20,17,324,33373,30662,14565,9946,1899,9031,2838,1103,13205
Middle Atlantic — Division total,1431,741,393,220,53,53,690,72052,64205,33206,20033,11968,11968,4619,30809,29444
Ohio,626,342,191,112,25,14,284,30031,27235,12987,7997,1860,1672,1058,1774,12939
Indiana,315,171,88,62,11,10,143,24917,21991,9168,4417,1672,1924,1058,12823,9440
Illinois,407,204,107,60,11,26,203,24201,21461,9160,4437,2164,1014,1545,12301,10148
East North Central — Division total,2151,1120,568,372,133,47,1031,112728,100065,50974,26480,9145,11932,3437,49089,45853
West North Central — Division total,827,430,229,169,12,20,397,32977,29435,14389,8492,4458,1260,469,14846,15510
