Industrial group,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA cases,Unfair labor practice cases — CB cases,Unfair labor practice cases — CC cases,Unfair labor practice cases — CD cases,Representation cases — All R cases,Representation cases — RC cases,Representation cases — RM cases,Representation cases — RD cases
Total,16659,9260,6068,2473,527,192,7399,6284,626,489
Manufacturing,9440,4542,3438,944,120,40,4898,4149,390,359
Food and kindred products,1063,601,498,166,21,6,522,390,67,65
Textile mill products,337,233,200,32,1,0,104,92,11,1
Primary metal industries,680,220,154,61,2,9,254,217,16,16
Fabricated metal products (except machinery and transportation equipment),898,442,347,86,8,1,456,402,22,32
Machinery (except electrical),844,362,276,69,14,3,482,391,40,51
"Electrical machinery, equipment, and supplies",606,292,216,64,9,3,314,264,18,32
Automotive and other transportation equipment,470,242,172,64,3,3,228,210,7,11
"Agriculture, forestry, and fisheries",4,3,1,0,1,1,1,1,0,0
Mining,417,304,250,53,1,0,113,92,12,9
Construction,1848,1474,622,673,231,158,374,157,16,1
Wholesale trade,1028,419,230,150,31,8,609,512,47,50
Retail trade,1428,640,417,156,59,8,788,674,79,35
"Finance, insurance, and real estate",43,18,15,1,1,1,25,18,4,3
"Transportation, communication, and other public utilities",2033,1424,829,518,63,14,609,512,60,37
Services,418,236,166,63,5,2,182,170,9,3
