Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,RC,RM,RD,UD
"Hearings completed, total",2467,2247,2045,92,110,9
Initial hearings,2228,2011,1830,76,105,7
Hearings on objections and/or challenges,239,236,215,16,5,2
"Decisions issued, total",2093,1932,1760,73,99,7
By regional directors,1910,1795,1639,65,91,7
Elections directed (by regional directors),1696,1593,1458,56,79,5
Dismissals on record (by regional directors),214,202,181,9,12,2
By Board,183,137,121,8,8,0
After transfer by regional directors for initial decision,150,110,96,7,7,0
Elections directed (after transfer),106,73,67,4,2,0
Dismissals on record (after transfer),44,37,29,4,3,5
After review of regional directors' decision,33,27,25,1,1,0
Elections directed (after review),24,18,17,0,1,0
Dismissals on record (after review),9,9,8,1,0,0
"Decisions on objections and/or challenges, total",1011,995,937,39,19,9
By regional directors (objections/challenges),312,300,283,13,4,8
By Board (objections/challenges),699,695,654,26,15,1
In stipulated elections,647,645,606,26,13,1
No exceptions to regional directors' reports,400,400,372,21,7,1
Exceptions to regional directors' reports,247,245,234,5,7,6
In directed elections (after transfer by regional directors),45,43,42,0,1,0
In directed elections after review of regional directors' supplemental decisions,7,7,6,0,1,0
