Stage,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
CA Cases,,,,,,,
"Pending July 1, 1967 (CA)",5424,2984,654,189,263,1324,10
Received fiscal 1968 (CA),11892,5524,1447,344,240,4315,22
On docket fiscal 1968 (CA),17316,8508,2101,533,503,5639,32
Closed fiscal 1968 (CA),11779,5459,1502,341,356,4101,20
"Pending June 30, 1968 (CA)",5537,3049,599,192,147,1538,12
CB Cases,,,,,,,
"Pending July 1, 1967 (CB)",1134,53,5,5,44,756,261
Received fiscal 1968 (CB),3557,55,29,19,28,2743,684
On docket fiscal 1968 (CB),4691,113,39,22,72,3499,945
Closed fiscal 1968 (CB),3590,67,26,17,47,2684,749
"Pending June 30, 1968 (CB)",1101,46,13,6,25,815,196
CC Cases,,,,,,,
"Pending July 1, 1967 (CC)",389,3,2,6,11,5,362
Received fiscal 1968 (CC),1355,12,3,35,16,36,1253
On docket fiscal 1968 (CC),1784,15,5,41,27,71,1625
Closed fiscal 1968 (CC),1404,12,3,34,17,50,1288
"Pending June 30, 1968 (CC)",380,3,2,7,10,21,337
CD Cases,,,,,,,
"Pending July 1, 1967 (CD)",151,4,1,0,0,5,141
Received fiscal 1968 (CD),478,18,4,1,0,2,453
On docket fiscal 1968 (CD),629,22,5,1,2,8,594
Closed fiscal 1968 (CD),475,18,3,1,1,11,441
"Pending June 30, 1968 (CD)",154,4,2,0,1,2,145
CE Cases,,,,,,,
"Pending July 1, 1967 (CE)",35,4,1,0,2,0,28
Received fiscal 1968 (CE),78,10,11,0,0,2,49
On docket fiscal 1968 (CE),113,10,13,0,2,11,77
Closed fiscal 1968 (CE),37,0,1,0,0,9,27
"Pending June 30, 1968 (CE)",76,10,12,0,2,2,50
CP Cases,,,,,,,
"Pending July 1, 1967 (CP)",205,0,0,1,4,2,198
Received fiscal 1968 (CP),416,6,3,4,2,22,379
On docket fiscal 1968 (CP),621,6,3,3,6,24,577
Closed fiscal 1968 (CP),492,3,2,1,3,17,462
"Pending June 30, 1968 (CP)",129,3,1,2,3,2,118
