row_label,Size of unit (number of employees),Number eligible to vote,Total elections — Number,Total elections — Percent of total,Cumulative percent of total,Elections won by unions — AFL-CIO — Number,Elections won by unions — AFL-CIO — Percent by size class,Elections won by unions — Teamsters — Number,Elections won by unions — Teamsters — Percent by size class,Elections won by unions — Other national unions — Number,Elections won by unions — Other national unions — Percent by size class,Elections won by unions — Other local unions — Number,Elections won by unions — Other local unions — Percent by size class,Elections in which no representative chosen — Number,Elections in which no representative chosen — Percent by size class
Total RC & RM elections,411000,7882,100.0,,2883,100.0,1329,100.0,290,100.0,239,100.0,3180,100.0,
Under 10,10852,1529,19.4,24.5,525,18.2,226,17.0,25,8.6,50,20.9,663,21.5,
10-19,13232,989,12.5,37.0,421,14.6,80,6.0,31,10.7,44,18.4,408,12.8,
20-29,14058,587,7.4,44.4,232,8.0,81,6.1,25,8.6,25,10.5,219,6.9,
200-249,40123,178,2.3,76.8,88,3.1,17,1.3,6,2.1,6,2.5,67,2.1,
500-749,88861,145,1.8,84.3,53,1.8,8,0.6,11,3.8,4,1.7,67,2.1,
"1,000-1,499",51406,41,0.5,85.3,16,0.6,1,0.1,5,1.7,1,0.4,22,0.7,
"5,000-9,999",67473,7,0.1,85.8,0,0.0,0,0.0,0,0.0,0,0.0,7,0.2,
"10,000 and over",0,0,0.0,85.8,,,,,,,,,,,
