Size of establishment (number of employees),Total — Number of situations,Total — Percent by class,CA — Number of situations,CA — Percent by class,CB — Number of situations,CB — Percent by class,CC — Number of situations,CC — Percent by class,CD — Number of situations,CD — Percent by class,CE — Number of situations,CE — Percent by class,CG — Number of situations,CG — Percent by class,CP — Number of situations,CP — Percent by class,CA-CB combined — Number,CA-CB combined — Percent,Other C combined — Number,Other C combined — Percent
Totals,720719,100.0,4761,100.0,3222,100.0,6704,100.0,584,100.0,250,100.0,38,100.0,27,100.0,183,100.0,864,100.0
Under 10,6143,16.0,1028,21.6,5222,,,,,,,,,,,,,,,
