Division and State 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Representation cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,RD
"South Atlantic states (DC, VA, WV, NC, SC, GA, FL)",,,,,,,,,,,,
East South Central,1017,578,397,124,37,7,2,11,439,395,27,17
West South Central,1393,738,492,177,46,9,1,13,655,564,32,59
Mountain,887,422,284,80,37,9,0,12,465,399,40,23
Pacific,2803,1427,879,377,87,32,9,43,1376,1097,164,115
Outlying areas,838,428,295,115,10,0,0,8,410,395,10,5
Additional,,,,,,,,,,,,
