Participating unions,Total valid votes cast,Valid votes cast in elections won / Total votes for unions,Valid votes cast in elections won / Votes for unions AFL-CIO unions,Valid votes cast in elections won / Votes for unions Teamsters,Valid votes cast in elections won / Votes for unions Other national unions,Valid votes cast in elections won / Votes for unions Other local unions,Valid votes cast in elections won / Total votes for no union,Valid votes cast in elections lost / Total votes for unions,Valid votes cast in elections lost / Votes for unions AFL-CIO unions,Valid votes cast in elections lost / Votes for unions Teamsters,Valid votes cast in elections lost / Votes for unions Other national unions,Valid votes cast in elections lost / Votes for unions Other local unions,Valid votes cast in elections lost / Total votes for no union
AFL-CIO,268523,56098,56098,,,,28761,63407,63407,,,,120257
Teamsters,39654,7804,,7804,,,7094,,,,,,17026
Other national unions,16275,2308,,,2308,,4283,,,,,,6348
Other local unions,5857,2597,,,,2597,,,,,,,
1-union elections,367517,82213,56098,7804,2308,2597,41049,,,,,,172067
2-union elections,31260,,,,,,,,,,,,
(3 or more) union elections,4921,4151,,,,,,,,,,,203
Total RC elections,440758,119164,71366,22096,11728,12011,63744,100718,68686,17253,10361,3716,187192
