row_label,col_1
2-R-7134,Bendix Aviation Corp.
5-R-2917,Bendix Aviation Corp.
5-R-2708,Bernhardt Furniture Co.
10-R-2206,"Berry-McAfee Box Co., R. R. Berry. Co."
4-R-2518,Bethlehems' Globe Publishing
4-R-2169,"Billig Shoe Co., Inc."
16-R-2190,"Billingsly, L. B., Machinery & Supply"
4-R-2542,Co. Binder Cooperage Co.
11-R-1092,Black Hawk Coal Corp. (Black Hawk Mine.)
16-R-2158,Blackwell Cheese Co.
6-R-1648,"Blair, J. C., Co."
11-R-1156,Blount Plow Works.
10-R-2168,Blue Belt Fertilizer Co.
5-R-2564,Blue Ridge Stone Corp.
4-R-2490,"Blue Star Air Lines, Inc."
13-R-4268,Bodine Printing Co.
,Bond Crown & Cork
6-R-14$6,Co.
4-R-2075,"Bond Printing Co., Inc. Co."
5-R-2679,Borden Manufacturing
7-R-2340,Borg-Warner Corp.
10-R-2162,Borg-Warner Corp. (Norge Division).
14-R-1621,Borg-Warner Corp. (Norge Division).
2-R-7002,"Boulevard Transit Lines, Inc."
,"Bowers Battery & Spark Plug Co.,"
4-R-2177 14-R-1653,"Inc. Boyd-Welsh, Inc."
5-R-2597,"Brasfield, George F. fig Co., Inc."
,"Pateros Processors,"
19-R-2111,Brewster Inc. Briggs Mfg. Co.
5-R-2451 14-R-1561,Brown Shoe Co.
15-R-1907,Brown Shoe Co.
10-R-2068,"Brown Stove Works, Inc."
21-R-8394,Brunswig Wholesale Drug Co.
6-R-1496,"Buckeye Coal Co. Steel Castings Co.,"
9-R-2117,Buckeye The. Bull Dog Electric Products Co.
7-R-2611,
19-R-1884,Hill & Sullivan Mining & Concentrating
,"Bunker Burkart, F., Mfg. Co."
4-R-2107 16-R-2221,Burrus Feed Mills.
,Butler
6-R-1476,Consolidated Coal Co. Cadillac Gage Co.
7-R-2521 15-R-1993,"Calcasieu Paper Co., Inc."
20-R-1914 20-R-1806,California Almond Growers Association. California Metal Trades Association.
,California State Brewers Institute.
20-R-1721,Cameron Mfg. Corp.
6-R-1488,"Campbell, A. S., Co."
1-R-3134,
20-RE-52,"Canada Dry Ginger Ale,"
21-R-3626,"Inc. Canada Dry Ginger Ale, Inc."
8-R-2168,"Drop Forging & Mfg. Co., The. Coal & Coke Co."
6-R-1481,Canton
,Canyon Capitol Stamping Corp.
13-R-4102 9-R-2048,Carbide & Carbon
,Chemicals Corp. & Carbon Chemicals Corp.
10-R-2284 3-R-1294,"Carbide Carborundum Co., The."
,Cash Wholesale Co. &
15-R-1932,"Stores, Inc."
21-R-3424,"Sterling Castle Dome Copper Co., Inc. Shannon Coal Corp."
6-R-1531 4-R-2537,Castle Celanese Corp. of America.
,Corp. of America.
5-R-2630,Celanese Central Foundry Co.
,Louisiana Electric
10-R-2377,
15-R-1536 8-R-2485,Central Co. Central Ohio Light fig Power Co. Certain-Teed Products Corp.
10-R-2288,Motors Co.
18-R-1641,Champion
,"Champion Stores, Inc."
6-R-1560,Chase-Shawmut Electrical
1-R-3344,Supply Co.
1-B-3271,
,"Chatfield Paper Co., The."
