row_label,Total — all courts — Number decided,Total — all courts — Upholding Board position,Total — all courts — Contrary to Board position,Courts of appeals — Number decided,Courts of appeals — Upholding Board position,Courts of appeals — Contrary to Board position,District courts — Number decided,District courts — Upholding Board position,District courts — Contrary to Board position,Bankruptcy courts — Number decided,Bankruptcy courts — Upholding Board position,Bankruptcy courts — Contrary to Board position,State courts — Number decided,State courts — Upholding Board position,State courts — Contrary to Board position
Other (Total),3,3,0,2,2,0,1,1,0,0,0,0,0,0,0
EAJA (Equal Access to Justice Act),2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
Suit for violation of constitutional rights,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
