row_label,Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD: Jurisdictional disputes,Formal actions taken by type of case / CD: Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Formal actions taken by type of case / Other CC combinations
10(k) notices of hearings issued,10(k) notices of hearings issued,22,22,0,0,0,21,0,1,0,0,0,0,0
Complaints issued,Complaints issued,2887,2226,2036,120,23,0,0,4,3,8,0,0,32
Backpay specifications issued,Backpay specifications issued,77,43,43,0,0,0,0,0,0,0,0,0,0
"Hearings completed, total","Hearings completed, total",1091,440,369,26,6,0,0,3,0,1,8,25,2
Initial ULP hearings,Initial ULP hearings,938,401,333,25,6,0,0,2,0,1,8,24,2
Backpay hearings,Backpay hearings,16,7,7,0,0,0,0,0,0,0,0,0,0
Other hearings,Other hearings,137,32,29,1,0,0,0,1,0,0,0,1,0
"Decisions by administrative law judges, total","Decisions by administrative law judges, total",903,419,363,19,4,0,0,2,0,0,11,19,1
Initial ULP decisions,Initial ULP decisions,827,377,332,19,4,0,0,2,0,0,11,18,1
Supplemental decisions,Supplemental decisions,60,23,22,0,0,0,0,0,0,0,0,1,0
"Decisions and orders by the Board, total","Decisions and orders by the Board, total",1268,580,474,32,5,10,1,2,0,1,13,37,7
Upon consent of parties:,Upon consent of parties:,,,,,,,,,,,,,
Initial decisions,Initial decisions,70,22,18,0,1,0,0,0,0,0,1,1,1
Supplemental decisions,Supplemental decisions,11,4,3,0,0,0,0,0,0,0,0,0,0
Adopting administrative law judges' decisions (no exceptions filed),Adopting administrative law judges' decisions (no exceptions filed),,,,,,,,,,,,,
Initial ULP decisions,Initial ULP decisions,196,115,103,5,0,0,0,0,0,0,3,4,0
Backpay decisions,Backpay decisions,21,10,10,0,0,0,0,0,0,0,0,0,0
Supplemental decisions,Supplemental decisions,22,6,5,0,0,0,0,0,0,0,0,0,0
Contested:,Contested:,,,,,,,,,,,,,
Initial ULP decisions,Initial ULP decisions,856,373,299,20,2,10,0,2,0,0,9,25,6
Decisions based on stipulated record,Decisions based on stipulated record,11,10,5,4,0,0,1,0,0,0,0,0,0
Supplemental decisions,Supplemental decisions,55,26,17,3,1,0,0,0,0,0,1,4,0
Backpay decisions,Backpay decisions,26,26,14,0,0,0,0,0,0,0,0,0,0
