Action taken,Total all,Remedial action taken by— / Employer / Total,Remedial action taken by— / Employer / Pursuant to— / Agreement of parties / Informal settlement,Remedial action taken by— / Employer / Pursuant to— / Agreement of parties / Formal settlement,Remedial action taken by— / Employer / Pursuant to— / Recommendation of administrative law judge,Remedial action taken by— / Employer / Pursuant to— / Order of— / Board/Court / Board,Remedial action taken by— / Union / Total / Court,Remedial action taken by— / Union / Pursuant to— / Agreement of parties / Informal settlement / Total,Remedial action taken by— / Union / Pursuant to— / Agreement of parties / Formal settlement / Informal settlement,Remedial action taken by— / Union / Pursuant to— / Recommendation of administrative law judge / Formal settlement,Remedial action taken by— / Union / Pursuant to— / Order of— / Board/Court / Recommendation of administrative law judge,Board,Court
A. By number of cases involved—,8684,,,,,,,,,,,,
Notices posted,4191,3097,2147,100,3,564,283,1094,803,79,97,115,
Recognition of or affirmative bargaining with—,70,70,8,,,,,,,,,,
Employer-dominated union disestablished,29,29,8,,,,,,,,,,
Employees offered reinstatement,1355,1355,887,43,1,278,166,,,,,,
Employees placed on preferential hiring list,114,114,93,7,,10,4,,,,,,
Hiring hall rights restored,38,,,,,,,38,22,,,,
Objections to employment withdrawn,73,,,,,,,73,33,11,,,
Picketing ended,667,,,,,,,667,643,15,1,5,
Work stoppage ended,210,,,,,,,210,147,,,,
Collective bargaining begun,1068,1512,1131,29,,166,124,156,113,8,3,9,
Backpay distributed,2149,1993,1520,57,2,281,133,156,139,5,5,7,
"Reimbursement of fees, dues, and fines",120,63,46,5,,6,6,57,47,1,,6,
Other conditions of employment improved,3216,1459,1442,,,10,,757,745,2,,,
B. By number of employees affected,,,,,,,,,,,,,
"Employees offered reinstatement, total",4440,4440,2830,237,4,845,825,,,,,,
Accepted,2976,2976,2073,71,4,358,468,,,,,,
Declined,1464,1464,743,65,,287,357,,,,,,
