Industrial group,All cases,Unfair labor practice cases — CA — Number,Unfair labor practice cases — CB — Number,Unfair labor practice cases — CC — Number,Unfair labor practice cases — CD — Number,Unfair labor practice cases — CE — Number,Unfair labor practice cases — CG — Number,Unfair labor practice cases — CP — Number,Representation cases — All R — Number,Representation cases — RC — Number,Representation cases — RM — Number,Representation cases — RD — Number,Union deauthorization (UD) cases,Amendment of certification (AC) cases,Unit clarification (UC) cases
Industrial total — All industrial groups,36657,26429,3663,303,166,26,33,117,5831,4807,175,849,102,12,273
Manufacturing — Total,9506,6980,1297,80,23,1,8,29,1124,927,33,164,29,0,131
Construction,5592,4811,227,66,17,16,4,47,327,175,29,123,0,0,0
