row_label,col_1,col_2
Cambridge Iron and Metal Co,28,107
Cameron Glass &Manufacturing Co,25,66
"Campbell Soup Company, Chicago, Ill",27,85
"Campbell Soup Company, Camden, New Jersey",28,78
"Campbell, Wyant &Cannon Foundry Co",32,84
Capital City Products Company,28,170
Capital Milling Company,98,166
"Cardinale Macaroni Manufacturing Co., Inc",29,166
"Carlisle Lumber Company Case, J. I., Company",31 97,31 197
"Castle &Cooke Terminals, Ltd",28,75
,,75
"Castle &Cooke Terminals, Ltd",28 95,77
Celluloid Corporation,,140
Certain-Teed Products Corporation,28,
Chicago Macaroni Company,30,44
"Chrysler Corporation, Airtemp Division",28,55
"Chrysler Corporation, Evansville, Ind",28,154
"Chrysler Corporation, Kokomo, Ind",31,61
Chrysler Motor Parts Corporation,28,33
Cleveland-Cliffs Iron Company,30,154
Climax Machinery Company,26,106
Climax Machinery Company,26,106
Climax Machinery Company,96,106
Clinton Company,95,102
"Cluett, Peabody &Co., Inc",31,79
"Cloggins Granite &Marble Industries, Inc., d/b/a Georgia Granite",27,168
"Company Cohen &Co., Inc., H",30,4
"Colorado Fuel &Iron Corporation, The",99,96
Columbia Mills Company,95,107
"Columbia Pictures Corporation, Los Angeles, Calif",27,8
"Columbia Pictures Corporation, Los Angeles, Calif",97,133 130
"Columbia Pictures Corporation, Los Angeles, Calif",28,
"Columbia Pictures Corporation, New York City",32,130
Commercial Iron Works Comolli Granite Company,30,71 168
,97,
"Connor Lumber and Land Co., The",27,66
"Connors Steel Company Consolidated Steel Corporation, Ltd., Los Angeles, Calif",28,89
"Consolidated Steel Corporation, Ltd., Maywood, Calif",26 26,4 4
"Constitution Publishing Company, The",99,19
Continental Mills,30,13
"Coon Company, W. B",97,140
Corduroy Rubber Company,30,144 15
Corona Citrus Association,95,
Covington Weaving Company,31,173
Craddock Furniture Co Crane Company,31,32
,98,114
"Crescent Bed Company, Inc",29,6
Crescent Dress Co,29,67
"Crown Zellerbach Corporation, Crown Willamette Paper Co., Division_",26,104
"Cudahy Packing Co., The, Jersey City, N. J",98,63
"Cudahy Packing Co., The, Chicago, 111",28,106
"Cudahy Packing Co., The, Newport, Minn",29,132
"Curtiss Wright Corporation, St. Louis Airplane Division",,11
,98,
Dain Manufacturing Company,29,93 84
"Delaware Broadcasting Company Delaware Floor Products, Inc",97 96,27
"DeSoto Oil Company Detroit Steel Products Company Diamond Alkali Co., Standard Portland Cement Co. and",98 32,22 96
Buckeye Soda Co,,
,32,40
Dickman Lumber Company,31,2
"Dixie Motor Coach Corporation and Sunshine Bus Lines, Inc",25,98
,25,
Dixie Ohio Express Co,,
