Participating unions,Total valid votes cast,Valid votes cast in elections won — Total votes won,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Total votes for no union
A. All representation elections — AFL-CIO,45146,11540,11540,,,4840,9995,9995,,,18771
Other national unions,6301,2710,,2710,,1306,770,,770,,1515
Other local unions,51044,17334,,,17334,7678,9274,,,9274,16758
1-union elections,102491,31584,11540,2710,17334,13824,20039,9995,9274,770,37044
AFL-CIO v. AFL-CIO,1951,854,854,,,78,469,469,,,550
AFL-CIO v. National,1436,1234,601,633,,39,85,28,,57,78
AFL-CIO v. Local,3471,3028,2009,,959,144,119,15,,104,180
Local v. Local,4391,4134,,,4134,257,0,,,0,0
National v. Local,1797,1746,,1034,712,13,26,,14,12,12
National v. National,4811,4159,,4159,,133,277,,277,,242
2-union elections,17857,15155,3524,6152,5479,664,976,512,395,69,1062
