Standard Federal Region / State,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Region IX (subtotal — San Francisco Pacific: AZ/CA/GU/HI/NV),6729,5026,3338,1371,218,38,16,6,33,1569,1096,134,339,134,4,53
Region X (subtotal — Seattle PNW: AK/ID/OR/WA),1628,1140,813,246,40,3,0,0,9,384,245,32,107,16,1,11
"Total, all States and areas",39351,31453,22266,7767,851,165,4,9,248,7348,5700,392,1256,165,37,348
