Method of disposition,Cases — Total number,Cases — Percent of cases closed,Cases — Total number of workers involved,A. F. of L. affiliates — Number of cases,A. F. of L. affiliates — Number of workers involved,C. I. O. affiliates — Number of cases,C. I. O. affiliates — Number of workers involved,Unaffiliated unions — Number of cases,Unaffiliated unions — Number of workers involved,Individual persons — Number of cases,Individual persons — Number of workers involved
"Cases pending June 30, 1939",4113,,1420486,1651,,2008,,432,,22,
"Cases received July 1, 1939 to June 30, 1940",6177,,1107923,2673,,2068,,1221,,215,
Total cases on docket during fiscal year,10290,,2528409,4324,,4076,,1653,,237,
Total cases closed during fiscal year,7354,100.0,1488000,,,,,,,,
"Cases pending June 30, 1940",2936,,1040389,,,,,,,,
