Affiliation of participating union,Number of elections / Total,Number of elections / In which representation rights were won by AFL-CIO affiliates,Number of elections / In which representation rights were won by Unaffiliated unions,Number of elections / In which no representative was chosen,Number of employees involved (number eligible to vote) / Total,Number of employees involved (number eligible to vote) / In units which representation rights were won by AFL-CIO affiliates,Number of employees involved (number eligible to vote) / In units which representation rights were won by Unaffiliated unions,Number of employees involved (number eligible to vote) / In units which no representative was chosen,Total valid votes cast
Total,6571,2665,1487,2419,489365,172415,93332,223618,441909
1-union election — AFL-CIO,3888,2121,,1767,206480,101508,,73762,154972
1-union election — Unaffiliated,2046,,1136,910,75902,,33233,41549,66970
2-union election — AFL-CIO v AFL-CIO,215,187,,28,35180,33303,,1877,30704
2-union election — AFL-CIO v Unaffiliated,257,144,75,38,102121,49675,14475,37791,92180
2-union election — Unaffiliated v Unaffiliated,76,,67,9,21000,,19991,1031,12701
3 (or more) union elections,89,30,11,7,14902,7038,6883,971,9386
