Item,Count
Total Board decisions,390
Contested decisions,256
Unfair labor practice decisions,195
Initial (includes those based on stipulated record),159
Supplemental,14
Backpay,13
Determinations in jurisdictional disputes,9
Representation decisions,58
After transfer by Regional Directors for initial decision,2
