Standard Federal Region,All cases,Unfair labor practice cases / AII C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / AII R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Region VIII (total),1065,920,771,125,4,1,0,0,154,117,4,33,0,1,8
Region IX (total),5606,4642,3515,1108,78,32,2,4,708,552,32,124,15,2,40
Region X (total),1518,1165,824,286,14,6,1,3,323,239,16,69,9,4,21
"Total, all States and areas",39927,34040,26244,6989,463,204,22,98,5458,4315,173,970,114,31,284
Other states/regions (catch-all),,,,,,,,,,,,,,,
