Subsections of Sec. 8 (a) of LMRA,Number,Percent
Total,2553,100.0
8 (a) (1),234,9.2
8 (a) (1) (2),41,1.6
8 (a) (1) (3),1486,58.2
8 (a) (1) (4),1,
8 (a) (1) (5),441,17.3
8 (a) (1) (2) (3),67,2.6
8 (a) (1) (2) (5),15,.6
8 (a) (1) (3) (4),16,.6
8 (a) (1) (3) (5),177,7.0
8 (a) (1) (2) (3) (4),3,.1
8 (a) (1) (2) (3) (5),67,2.6
8 (a) (1) (3) (4) (5),1,
8 (a) (1) (2) (3) (4) (5),4,.2
8 (a) (1),2553,100.0
8 (a) (2),197,7.7
8 (a) (3),1821,71.3
8 (a) (4),25,1.0
8 (a) (5),705,27.6
