Subsection / combination,Number of cases showing specific allegations,Percent of total
Total,4154,100.0
8(a)(1),350,8.4
8(a)(1)(2),282,6.8
8(a)(1)(3),2197,52.9
8(a)(1)(4),5,.1
8(a)(1)(5),629,15.1
8(a)(1)(2)(3),185,4.5
8(a)(1)(2)(5),24,.6
8(a)(1)(3)(4),59,1.4
8(a)(1)(3)(5),372,9.0
8(a)(1)(4)(5),1,(1)
8(a)(1)(2)(3)(4),6,.1
8(a)(1)(2)(3)(5),32,.8
8(a)(1)(3)(4)(5),7,.2
8(a)(1)(2)(3)(4)(5),5,.1
8(a)(1),4154,100.0
8(a)(2),534,12.9
8(a)(3),2863,68.9
8(a)(4),83,2.0
8(a)(5),1070,25.8
