Standard Federal Region,All cases,All ULP cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Region IV — South Carolina,114,98,73,25,0,0,0,0,0,15,13,0,2,0,0,1
Region IV — Tennessee,698,423,,,,,,,,,,,,,,
Region IV TOTAL,3704,3239,2371,609,115,29,5,3,21,326,405,18,103,2,0,23
Region V TOTAL,9540,8374,5632,1960,224,56,11,7,67,1043,1087,29,315,39,7,85
Region VI TOTAL,1929,1648,1201,335,75,5,0,3,14,264,195,8,63,4,0,10
Region VII TOTAL,1670,1345,916,375,28,9,0,2,14,314,226,10,78,11,0,10
Region VIII TOTAL,872,705,583,113,4,0,1,1,3,133,99,13,41,2,2,10
