row_label,Number
Total Board decisions,592
Contested decisions,393
Unfair labor practice decisions,288
Initial (includes those based on stipulated record),213
Supplemental,56
Backpay,13
Determinations in jurisdictional disputes,6
Representation decisions,97
After transfer by Regional Directors for initial decision,2
After review of Regional Director decisions,28
On objections and/or challenges,67
Other decisions,8
Clarification of bargaining unit,4
Amendment to certification,0
Union-deauthorization,4
Noncontested decisions,199
Unfair labor practice,93
Representation,102
Other,4
