row_label,col_1
11-R-1215,Sohio Petroleum Co.
10-R-2449,"Southern Saw Works, Inc."
5-R-2654,"Southern Webbing Mills, Inc."
5-R-2944,Southern Welding & Machine Co.
14-R-1649,Southwest Missouri Telephone Co.
9-R-2193,"Sports Products, Inc."
9-R-2258,"Sports Products, Inc."
10-RE-25,Spur Bottling Co.
2-R-7047,"Squibb, E. R., & Sons."
10-RE-28,Squirt Bottling Co.
10-R-2697,Standard-Coosa-Thatcher Co. Jersey.
5-R-2930,"Standard Oil Co., of New"
8-R-2234,Standard 011 Co.
8-R-2235,"Standard Oil Co., The (Ohio)."
8-R-2398,"Standard Oil Co., (Ohio) Zanesville Sales Division."
8-R-2399,Standard Oil Co. (Ohio Zanesville Division).
9-R-2536,Standard 011 Co.
9-R-2537,Standard Oil Co.
8-11-2579,"Standard Oil Co., of Ohio."
20-R-1861,"Standard Oil Co., of Calif."
,"Oil Co., of Calif."
20-11-1943,Standard
21-11-3789,"Standard Oil Co., of Calif."
20-11-1891,"Standard Specialty Co., Inc."
18-11-1839,"Steffen, 0. F., Body Co."
13-R-3843,Steger Furniture Co.
13-11-3845,Steger Furniture Co.
16-R-..1960,Stillwell Canning Co.
4-11-2883,"Stokes Molded Products. Stokely Foods, Inc."
13-R-4022 16-11-2001,Stratton Pipe Line Corp.
6-R-1684,Stromberg-Carlson Co.
21-R-3523,Sunray Oil Corp.
21-11-3835,Superb° Heater Co. Sylvania Electric
6-R-1504,"Products,"
,Inc.
2-11-6788 10-R-2040,Telautograph Co. Tennessee Stove Works.
16-11-1855,"Texas Motor Coaches, Inc."
16-R-1748,"Texas Pacific Coal & Oil Co. Paper Products, Inc."
10-11-2105,Textile
28-R486,Thomas Roofing Co.
19-11-1953 20-11-1782,Tide Water Associated 011 Co. Water Associated Oil
,Tide Co.
20-R-1785,"Tide Water Associated 011 Co. Tide Water Associated Oil Co., Association Division."
21-R-3467,Water Associated Oil Co.
21-R-3856,Tide Water Associated Oil Co.
21-11-3970 8-R-2276,"Tide Tools & Gages, Inc."
,Towmotor Corp.
8-R-2534,
8-R-2499,Truscon Steel Co.
,Tung Sol Lamp Works. Century
4-R-2222 21-11-8603,Twentieth
18-11-1851,"Records, Inc. City Die Casting Co."
,Twin Lumber Co.
19-R-1802,Tyee
2-R-6791,Union Carbide & Carbon Corp. Union Carbide & Carbon
21-R-3661 21-R4662,Corp. Union Carbide & Carbon Corp.
,"Engineering Corp. United Airco, Straub, Curtis."
2-R-7136 21-11-3830,Union
,"Engineering & Co. United Speakers, Inc."
6-11-1691,United Foundry Co.
21-11-3676 10-11-2530,United States Pipe & Foundry
1-R-3553,S. Steel Supply Co. Atlas Cement Co.
8-R-1355,U.
,Universal Universal Atlas Cement Co.
9-11-2177,Universal Atlas Cement Co.
13-R-3989 21-11-3625,
,Universal Furniture Co.
