Object class,Amount
Salaries,7327601
Travel,585931
Transportation of things,20995
Communication services,244492
Rents and utility services,15195
Printing and reproduction,277613
Other contractual services,263184
Services performed by other agencies,3719
Supplies and materials,100896
Equipment,48039
"Refunds, awards, and indemnities",10040
Taxes and assessments,10508
"Grand total, obligations and expenditures for salaries and expenses",8908303
