row_label,Total,Number of cases / Identification of petitioner / Employer,Number of cases / Identification of petitioner / Union,Number of cases / Identification of petitioner / Courts,Number of cases / Identification of petitioner / State boards
"Pending July 1, 1963",0,,,,
Received fiscal 1964,19,7,9,1,2
On docket fiscal 1964,19,7,9,1,2
Closed fiscal 1964,12,5,5,1,1
"Pending June 30, 1964",7,2,4,,1
