row_label,Participating unions,Total valid votes cast,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union
3 (or more)-union elections,27000,23670,8776,1990,2079,11776,1352,652,589,49,,14,,1333
Total RC elections,489332,195628,105148,24633,20571,44558,87964,59436,15537,9901,3090,160278,,
C. Elections in RM cases,,,,,,,,,,,,,,
AFL-CIO (RM),6405,1908,1908,,,,,824,1218,,,,2455,
Total RM elections,12105,3538,2089,902,287,260,1327,2199,1336,417,33,,4748,
