Affiliation of participating unions,Number of elections / Total,Number of elections / In which representation rights were won by — AFL affiliates,Number of elections / In which representation rights were won by — CIO affiliates,Number of elections / In which representation rights were won by — AFL-CIO affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In units in which no representative was won,Number of employees involved (number eligible to vote) / Total,Number of employees involved (number eligible to vote) / AFL affiliates,Number of employees involved (number eligible to vote) / CIO affiliates,Number of employees involved (number eligible to vote) / AFL-CIO affiliates,Number of employees involved (number eligible to vote) / Unaffiliated unions,Number of employees involved (number eligible to vote) / In units in which no representative was won,Total valid votes cast
Total,4946,986,486,1430,328,1716,462712,63092,60119,114408,53673,171420,414568
1-union elections,,,,,,,,,,,,,
AFL,1371,818,,,,553,84575,45187,,,,39484,76572
AFL-CIO,2014,,,1239,,775,205409,,,92971,,81676,187659
CIO,700,,372,,,388,68725,,30961,,,32118,62728
Unaffiliated,330,,,,162,168,44156,,,,8488,12125,39720
2-union elections (multiple combos),,,,,,,,,,,,,
3-union elections (multiple combos),,,,,,,,,,,,,
4-union elections (multiple combos),,,,,,,,,,,,,
